Case URL,Case Filing Year for Action,Status,Case Categories,Geographies,agriculture,construction,education,energy_supply,enviromental_management,extractive,finance_insurance,fishing,forestry,informal,manufacturing,media,public,trade,transportation_logistics,water_management,num_sectors
https://www.climatecasechart.com/document/a-request-for-an-advisory-opinion-from-the-inter-american-court-of-human-rights-concerning-the-interpretation-of-article-1-1-4-1-and-5-1-of-the-american-convention-on-human-rights_8b54,2016,Decided,Advisory Opinions,XAB,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
https://www.climatecasechart.com/document/a-sud-et-al-v-italy_004c,2021,Under Appeal,GHG emissions reduction and trading;Human Rights;Other;Suits against governments,ITA,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
https://www.climatecasechart.com/document/ack-residents-against-turbines-v-u-s-bureau-of-ocean-energy-management_448e,2021,Notice of appeal filed by plaintiffs.,Endangered Species Act and Other Wildlife Protection Statutes;Federal Statutory Claims;NEPA,USA;US-MA,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
https://www.climatecasechart.com/document/ado-54-amazon-deforestation_bec3,2019,Decided,Protecting biodiversity and ecosystems;Suits against governments,BRA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
https://www.climatecasechart.com/document/adpf-746-fires-in-the-pantanal-and-the-amazon-forest_5747,2020,Decided,Human Rights;Indigenous Groups;Right to a healthy environment;Suits against governments;Youth/Children,BRA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
https://www.climatecasechart.com/document/adpf-857-pantanal-wildfires_c3e6,2021,Decided,Protecting biodiversity and ecosystems;Suits against governments,BRA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3
https://www.climatecasechart.com/document/advocates-for-a-cleaner-tacoma-v-puget-sound-clean-air-agency_bbcc,2021,Petition for judicial review filed by Puyallup Tribe of Indians.,Environmentalist Lawsuits;State Impact Assessment Laws;State Law Claims,USA;US-WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
https://www.climatecasechart.com/document/af-kiribati-teitiota-v-the-chief-executive-of-ministry-of-business-innovation-and-employment_78a8,2013,Decided,Suits against governments;Climate migration;Human Rights,NZL,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
https://www.climatecasechart.com/document/africa-climate-alliance-et-al-v-minister-of-mineral-resources-energy-et-al-cancelcoal-case_a360,2021,Decided,Environmental assessment and permitting;Suits against governments;Utilities,ZAF,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
https://www.climatecasechart.com/document/aji-p-v-state-of-washington_2a62,2018,Dismissal affirmed.,Environmentalist Lawsuits;Public Trust Claims;State Law Claims,USA;US-WA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
https://www.climatecasechart.com/document/alaska-community-action-on-toxics-v-council-on-environmental-quality_60a4,2020,Joint status report and unopposed motion to extend stay of case by 120 days filed.,Federal Statutory Claims;NEPA,USA;US-CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
